"hash_sha256","file_base","file_path","file_extension","application_name","application_team","application_category"
"8fd869c28d669533b09194c4c06e98dbc35995d1e345323968790a778ac297ae","OSDRIVE","%OSDRIVE%\USERS\AACKTS\APPS\SCRIPTS\ORIENTATION-POWER2.BAT","BAT","ORIENTATION-POWER2","UNDEFINED","SUPPRESS"
"b29f5a6105922b34111295e6f9a5b6fa3409ddc661dc93c71d2e2ba8832d187b","OSDRIVE","%OSDRIVE%\USERS\AACKTS\APPS\SCRIPTS\ORIENTATION-POWER11.PS1","PS1","ORIENTATION-POWER11","UNDEFINED","SUPPRESS"
"d32ce71571808ed56c06e93ddb3e284401a977ae984630222cfea49dd28ebf66","OSDRIVE","%OSDRIVE%\USERS\AACKTS\APPS\SCRIPTS\ORIENTATION-POWER12.PS1","PS1","ORIENTATION-POWER12","UNDEFINED","SUPPRESS"
"235798b0da29d4faf734982930c284a632ca94e0a981947cff9d8dcf1e66bc51","OSDRIVE","%OSDRIVE%\USERS\AACKTS\APPS\SCRIPTS\ORIENTATION-POWER13.PS1","PS1","ORIENTATION-POWER13","UNDEFINED","SUPPRESS"
"a21ff0e29e1bb4a853e4e3dc083439c3775f7670fd584095bab33b71d302ded6","OSDRIVE","%OSDRIVE%\USERS\AAUSMU\APPS\SCRIPTS\ORIENTATION-POWER2.BAT","BAT","ORIENTATION-POWER2","UNDEFINED","SUPPRESS"
"50813c883e71712e693d360cecd3cf4c07c529e2ba5c024062b2566650edc0e6","OSDRIVE","%OSDRIVE%\USERS\AAUSMU\APPS\SCRIPTS\ORIENTATION-POWER1.CMD","CMD","ORIENTATION-POWER1","UNDEFINED","SUPPRESS"
"2951a49276bc9b2c4547bd4a208345fef39759a503d4c76e31e9d1f2f9051e31","OSDRIVE","%OSDRIVE%\USERS\AAUSMU\APPS\SCRIPTS\ORIENTATION-POWER3.CMD","CMD","ORIENTATION-POWER3","UNDEFINED","SUPPRESS"
"f0f4c605a251032cf4f55272d234510ae83f9082fc0a133605c1332bc9e8737a","OSDRIVE","%OSDRIVE%\USERS\AAUSMU\APPS\SCRIPTS\RECON-POWER.VBS","VBS","RECON-POWER","UNDEFINED","SUPPRESS"
"796a1bd8371602cfc9df8481a63336c027a85b553deca1840b8d7ffb11d88694","OSDRIVE","%OSDRIVE%\USERS\AAUSMU\APPS\SCRIPTS\ORIENTATION-POWER11.PS1","PS1","ORIENTATION-POWER11","UNDEFINED","SUPPRESS"
"a40ea5ea5b08aed5c689b17419c2c62e2ac38e4e9666a82665fa03374fea63d3","OSDRIVE","%OSDRIVE%\USERS\AAUSMU\APPS\SCRIPTS\ORIENTATION-POWER12.PS1","PS1","ORIENTATION-POWER12","UNDEFINED","SUPPRESS"
