"appid","appcat","apppath"
"ed19128ada55c01e80b97adf2bd4a543535a3983a71e1581ba1120d2ad91fe36","SUPPRESS","E:\MY PERSONAL SCRIPTS\ORIENTATION-POWER2.BAT"
"70951dc94250a3c281443662ee4cdb8615185447bc0ffebcb07533fefd5fd667","SUPPRESS","E:\MY PERSONAL SCRIPTS\RECON-POWER.VBS"
"c6176b8e39f69ba60fef565b9a5587a27841ad7b6d6b9fbba67fab080e01ca63","AUTHORIZE","E:\HELPFUL PORTABLE APPS\AUTORUNS64.EXE"
"3d7bd6819705b541749875c5cec5a9d7b59732ca28550d31330df603b77a08b1","AUTHORIZE","E:\HELPFUL PORTABLE APPS\ADEXPLORER.EXE"
"d1da242315a9f20e5a104a512a761d615453ecce609c5c7370cbc353953883a2","AUTHORIZE","E:\HELPFUL PORTABLE APPS\PROCEXP.EXE"
"453ccf4b7f6c92f2a0c333890cd17476d11640abefff497e344d90e27be244c4","SUPPRESS","%OSDRIVE%\USERS\PUBLIC\DOCUMENTS\MY PERSONAL SCRIPTS\ORIENTATION-POWER1.CMD"
"1f62a541a0ee324d7d0f618a3ff1ad5ceb09dff9518bf07baa7ada7e989df5d8","AUTHORIZE","%OSDRIVE%\USERS\PUBLIC\DOCUMENTS\HELPFUL PORTABLE APPS\KITTY_PORTABLE.EXE"
"cce65552f44c25515bf18e2147b1f12cc480e1bf8f75328c0c996cac569f25c9","AUTHORIZE","%OSDRIVE%\USERS\PUBLIC\DOCUMENTS\HELPFUL PORTABLE APPS\PWTECH.EXE"
"e6fb4aa215428823ec0b7f526b634c67696c0ba177b49b0a93aaa904829677a0","AUTHORIZE","%OSDRIVE%\USERS\PUBLIC\DOCUMENTS\HELPFUL PORTABLE APPS\ADEXPLORER.EXE"
"97b6ae7407e35dfecfbfa3edaec2e44268892c866449094cf7584df2d4255d81","SUPPRESS","%OSDRIVE%\USERS\PUBLIC\DOCUMENTS\MY PERSONAL SCRIPTS\ORIENTATION-POWER2.BAT"
"7362bf7e96f396d20f153882eae305709d1e17328ce59ead2b1f0b8808e0893c","SUPPRESS","%OSDRIVE%\USERS\PUBLIC\DOCUMENTS\MY PERSONAL SCRIPTS\RECON-POWER.VBS"
"e6c489990a73e5839936ea334de6a9394639dbed18014a0242fecaae3ed3ffaf","SUPPRESS","E:\MY PERSONAL SCRIPTS\ORIENTATION-POWER1.CMD"
"8b0fed0344b78576db2469e3b4bef4688ef0a8d85fabac98aadce399507917c0","SUPPRESS","E:\MY PERSONAL SCRIPTS\ORIENTATION-POWER3.CMD"
"d38f1323e69631705d5077f45b330b0c350e966e915e8d66e9057ac02367dbe5","AUTHORIZE","%OSDRIVE%\USERS\PUBLIC\DOCUMENTS\HELPFUL PORTABLE APPS\AUTORUNS64.EXE"
"4fbb2caca7021a26d50dac704be7a5243b5479f2b46c34ec5aace6d6c64083eb","AUTHORIZE","%OSDRIVE%\USERS\PUBLIC\DOCUMENTS\HELPFUL PORTABLE APPS\PROCEXP.EXE"
"a6def7058b1af7a408fd45adc7ede4f732f28b89fac86075ed1dac1a15983c3a","AUTHORIZE","E:\HELPFUL PORTABLE APPS\KITTY_PORTABLE.EXE"
